cord_uid;organization;title;doi;license;publish_time;authors;journal;url
zkhybbzu;PMC;On the Elicitation of an Optimal Outer Approximation of a Coherent Lower Probability;10.1007/978-3-030-50143-3_6;no-cc;15/5/2020;Miranda, Enrique- Montes, Ignacio- Vicig, Paolo;Information Processing and Management of Uncertainty in Knowledge-Based Systems;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7274745/
ndahujb9;PMC;Fuzzy Greedy Randomized Adaptive Search Procedure and Simulation Model to Solve the Team Orienteering Problem with Time Windows;10.1007/978-3-030-50143-3_56;no-cc;15/5/2020;Expósito-Márquez, Airam- Expósito-Izquierdo, Christopher- Melián-Batista, Belén- Moreno-Vega, José Marcos;Information Processing and Management of Uncertainty in Knowledge-Based Systems;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7274746/
117lpjyh;PMC;Metrical Approach to Measuring Uncertainty;10.1007/978-3-030-50143-3_10;no-cc;15/5/2020;Bronevich, Andrey G.- Rozenberg, Igor N.;Information Processing and Management of Uncertainty in Knowledge-Based Systems;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7274748/
rxuca6nv;PMC;A Note on Aggregation of Intuitionistic Values;10.1007/978-3-030-50143-3_31;no-cc;15/5/2020;Kolesárová, Anna- Mesiar, Radko;Information Processing and Management of Uncertainty in Knowledge-Based Systems;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7274749/
d771fcyl;PMC;Automorphism Groups of Finite BL-Algebras;10.1007/978-3-030-50153-2_49;no-cc;16/5/2020;Aguzzoli, Stefano- Gerla, Brunella;Information Processing and Management of Uncertainty in Knowledge-Based Systems;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7274750/
z9kqhhpk;PMC;A Fuzzy Approach for Similarity Measurement in Time Series, Case Study for Stocks;10.1007/978-3-030-50153-2_42;no-cc;16/5/2020;Mirshahi, Soheyla- Novák, Vilém;Information Processing and Management of Uncertainty in Knowledge-Based Systems;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7274751/
j76df0cy;PMC;Fast Convergence of Competitive Spiking Neural Networks with Sample-Based Weight Initialization;10.1007/978-3-030-50153-2_57;no-cc;16/5/2020;Cachi, Paolo Gabriel- Ventura, Sebastián- Cios, Krzysztof Jozef;Information Processing and Management of Uncertainty in Knowledge-Based Systems;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7274752/
1yim8o56;PMC;Fuzzy Inference System as an Aggregation Operator - Application to the Design of a Soil Chemical Quality Index;10.1007/978-3-030-50143-3_35;no-cc;15/5/2020;Mora-Herrera, Denys Yohana- Guillaume, Serge- Snoeck, Didier- Zúñiga Escobar, Orlando;Information Processing and Management of Uncertainty in Knowledge-Based Systems;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7274753/
0rtss53i;PMC;A Word Embedding Model for Mapping Food Composition Databases Using Fuzzy Logic;10.1007/978-3-030-50143-3_50;no-cc;15/5/2020;Morales-Garzón, Andrea- Gómez-Romero, Juan- Martin-Bautista, M. J.;Information Processing and Management of Uncertainty in Knowledge-Based Systems;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7274754/
mkmrninv;PMC;Belief Functions for the Importance Assessment in Multiplex Networks;10.1007/978-3-030-50143-3_22;no-cc;15/5/2020;Lepskiy, Alexander- Meshcheryakova, Natalia;Information Processing and Management of Uncertainty in Knowledge-Based Systems;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7274755/
kks60tjt;PMC;The Formalization of Asymmetry in Disjunctive Evaluation;10.1007/978-3-030-50143-3_34;no-cc;15/5/2020;Hudec, Miroslav- Mesiar, Radko;Information Processing and Management of Uncertainty in Knowledge-Based Systems;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7274756/
bei8144f;PMC;A Publicly Available, High Resolution, Unbiased CT Brain Template;10.1007/978-3-030-50153-2_27;no-cc;16/5/2020;Muschelli, John;Information Processing and Management of Uncertainty in Knowledge-Based Systems;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7274757/
mj3s5iav;PMC;Depth-Bounded Approximations of Probability;10.1007/978-3-030-50153-2_45;no-cc;16/5/2020;Baldi, Paolo- D’Agostino, Marcello- Hosni, Hykel;Information Processing and Management of Uncertainty in Knowledge-Based Systems;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7274758/
eum2xgph;PMC;Learning Sets of Bayesian Networks;10.1007/978-3-030-50143-3_12;no-cc;15/5/2020;Cano, Andrés- Gómez-Olmedo, Manuel- Moral, Serafín;Information Processing and Management of Uncertainty in Knowledge-Based Systems;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7274759/
ndsjwbx4;PMC;Aggregation Functions Transformed by 0 - 1 Valued Monotone Systems of Functions;10.1007/978-3-030-50143-3_42;no-cc;15/5/2020;Kalina, Martin;Information Processing and Management of Uncertainty in Knowledge-Based Systems;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7274760/
n6m0m3c5;PMC;Archimedean Choice Functions: An Axiomatic Foundation for Imprecise Decision Making;10.1007/978-3-030-50143-3_15;no-cc;15/5/2020;De Bock, Jasper;Information Processing and Management of Uncertainty in Knowledge-Based Systems;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7274763/
9fnvrswh;PMC;Some Remarks on Approximate Reasoning and Bandler-Kohout Subproduct;10.1007/978-3-030-50143-3_60;no-cc;15/5/2020;Mi?, Katarzyna- Baczy?ski, Micha?;Information Processing and Management of Uncertainty in Knowledge-Based Systems;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7274771/
p99w96ir;PMC;Approximating General Kernels by Extended Fuzzy Measures: Application to Filtering;10.1007/978-3-030-50143-3_9;no-cc;15/5/2020;Destercke, Sébastien- Rico, Agnès- Strauss, Olivier;Information Processing and Management of Uncertainty in Knowledge-Based Systems;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7274772/
lrzlmipp;PMC;On the Properties of Intermediate Quantifiers and the Quantifier “MORE-THAN”;10.1007/978-3-030-50153-2_12;no-cc;16/5/2020;Novák, Vilém- Murinová, Petra- Boffa, Stefania;Information Processing and Management of Uncertainty in Knowledge-Based Systems;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7274773/
4lmxrf47;PMC;Graded Decagon of Opposition with Fuzzy Quantifier-Based Concept-Forming Operators;10.1007/978-3-030-50153-2_10;no-cc;16/5/2020;Boffa, Stefania- Murinová, Petra- Novák, Vilém;Information Processing and Management of Uncertainty in Knowledge-Based Systems;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7274793/
2w512dvt;PMC;Conditioning and Dilation with Coherent Nearly-Linear Models;10.1007/978-3-030-50143-3_11;no-cc;15/5/2020;Pelessoni, Renato- Vicig, Paolo;Information Processing and Management of Uncertainty in Knowledge-Based Systems;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7274795/
kfvqacxb;PMC;Fuzzy Neighborhood Semantics for Multi-agent Probabilistic Reasoning in Games;10.1007/978-3-030-50153-2_50;no-cc;16/5/2020;Da?ková, Martina- B?hounek, Libor;Information Processing and Management of Uncertainty in Knowledge-Based Systems;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7274800/
flbiuteu;PMC;Coherent and Archimedean Choice in General Banach Spaces;10.1007/978-3-030-50143-3_14;no-cc;15/5/2020;de Cooman, Gert;Information Processing and Management of Uncertainty in Knowledge-Based Systems;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7274805/
ttt746t1;PMC;General Grouping Functions;10.1007/978-3-030-50143-3_38;no-cc;15/5/2020;Santos, Helida- Dimuro, Graçaliz P.- Asmus, Tiago C.- Lucca, Giancarlo- Borges, Eduardo N.- Bedregal, Benjamin- Sanz, José A.- Fernández, Javier- Bustince, Humberto;Information Processing and Management of Uncertainty in Knowledge-Based Systems;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7274810/
h4yff3rs;PMC;Secondary Trauma and Parenting Practices in Internet Crimes against Children Task Force Investigators;10.1007/s12103-020-09530-8;no-cc;6/6/2020;Stewart, Jonathan- Witte, Tricia H.;Am J Crim Justice;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7274939/
imgn5oik;PMC;Looking a Gift Horse in the Mouth: Observations on NHS England's Interim Guidance on Pembrolizumab in Head and Neck Squamous Cell Cancer;10.1016/j.clon.2020.05.016;no-cc;6/6/2020;Harrington, K.J.- Bhide, S.A.- Forster, M.D.- Good, J.S.- Gunn, L.- Kong, A.- Melcher, A.A.- Metcalf, R.- Nenclares, P.- Newbold, K.L.- Nutting, C.M.- Prestwich, R.- Sacco, J.J.- Soliman, H.- Wong, K.H.;Clin Oncol (R Coll Radiol);https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7274954/
jl9g5taj;PMC;Design and Development of Digital Twins: a Case Study in Supply Chains;10.1007/s11036-020-01557-9;no-cc;6/6/2020;Marmolejo-Saucedo, Jose Antonio;Mobile Netw Appl;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7275123/
gbzcuts3;PMC;Effects of dexmedetomidine on stress hormones in patients undergoing cardiac valve replacement: a randomized controlled trial;10.1186/s12871-020-00993-0;cc-by;6/6/2020;Wu, Hanhua- Tang, Jinqing- Pan, Jiamei- Han, Ming- Cai, Huijun- Zhang, Hong;BMC Anesthesiol;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7275125/
6dcf7sss;PMC;Biology and American Sociology, Part II: Developing a Unique Evolutionary Sociology;10.1007/s12108-020-09448-y;no-cc;6/6/2020;Turner, Jonathan H.- Schutt, Russell K.- Keshavan, Matcheri S.;Am Sociol;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7275132/
331qo6nk;PMC;Therapeutic potential of a designed CS?? peptide ID13 in Staphylococcus aureus-induced endometritis of mice;10.1007/s00253-020-10685-x;no-cc;6/6/2020;Li, Bing- Yang, Na- Shan, Yuxue- Wang, Xiumin- Hao, Ya- Mao, Ruoyu- Teng, Da- Fan, Huan- Wang, Jianhua;Appl Microbiol Biotechnol;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7275135/
e6hcp3dv;PMC;Gastrointestinale Manifestation und fäkale Viruslast der SARS-CoV-2-Infektion;10.1007/s15036-020-1329-2;no-cc;22/6/2020;Treiber, Maryam- Robert, Thimme;Gastro-News;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7275650/
esjzqhoo;PMC;Alles Corona - oder was?;10.1007/s15036-020-1343-4;no-cc;22/6/2020;Labenz, Joachim;Gastro-News;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7275651/
iizg516f;PMC;Muskuloskeletale Bewegung und Entzündung im Fokus;10.1007/s00112-020-00957-1;no-cc;6/6/2020;Girschick, Hermann- Stephan, Volker;Monatsschr Kinderheilkd;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7275656/
ub2vovv1;PMC;CED in Zeiten von COVID-19;10.1007/s15036-020-1342-5;no-cc;22/6/2020;Rothfuss, Katja- Stange, Eduard;Gastro-News;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7275662/
fo98hgsr;PMC;Phishing Email Detection Based on Binary Search Feature Selection;10.1007/s42979-020-00194-z;no-cc;6/6/2020;Sonowal, Gunikhan;SN COMPUT;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7275664/
mng90dob;PMC;Morbidity and mortality in critically ill patients with invasive group A streptococcus infection: an observational study;10.1186/s13054-020-03008-z;cc-by;6/6/2020;Björck, Viveka- Påhlman, Lisa I.- Bodelsson, Mikael- Petersson, Ann-Cathrine- Kander, Thomas;Crit Care;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7275847/
n699ccsr;PMC;Predicting Outcomes After Blunt Chest Trauma—Utility of Thoracic Trauma Severity Score, Cytokines (IL-1?, IL-6, IL-8, IL-10, and TNF-?), and Biomarkers (vWF and CC-16);10.1007/s12262-020-02407-4;no-cc;7/6/2020;Bagaria, Vivek- Mathur, Purva- Madan, Karan- Kumari, Minu- Sagar, Sushma- Gupta, Amit- Soni, Kapil Dev- Bhattacharjee, Hemanga- Kumar, Subodh;Indian J Surg;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7275928/
bjs1i0zc;PMC;Coronavirus Pandemic: Europe Is Once Again Forged in a Crisis;10.1007/s10272-020-0897-x;cc-by;7/6/2020;Eichengreen, Barry;Inter Econ;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7276099/
96ax118j;PMC;Rheostat positions: A new classification of protein positions relevant to pharmacogenomics;10.1007/s00044-020-02582-9;no-cc;7/6/2020;Fenton, Aron W.- Page, Braelyn M.- Spellman-Kruse, Arianna- Hagenbuch, Bruno- Swint-Kruse, Liskin;Med Chem Res;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7276102/
0l4nuveg;PMC;SURE — EU Capacity for Stabilising Employment and Incomes in the Pandemic;10.1007/s10272-020-0888-y;cc-by;7/6/2020;Andor, László;Inter Econ;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7276103/
nl9bpvgg;PMC;Lessons From the Coronavirus Crisis for European Integration;10.1007/s10272-020-0883-3;cc-by;7/6/2020;Bongardt, Annette- Torres, Francisco;Inter Econ;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7276104/
lc9dfiwv;PMC;Why Current EU Proposals for Corona-Related Financial Aid Cannot Replace Coronabonds;10.1007/s10272-020-0892-2;cc-by;7/6/2020;Dullien, Sebastian- Theobald, Thomas- Tober, Silke- Watt, Andrew;Inter Econ;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7276105/
c6wfyq79;PMC;The Privilege of Working From Home at the Time of Social Distancing;10.1007/s10272-020-0891-3;cc-by;7/6/2020;Cetrulo, Armanda- Guarascio, Dario- Virgillito, Maria Enrica;Inter Econ;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7276111/
75gy6eod;PMC;Slavutych atomograd as the last ideal city of the USSR: Challenges and adaptation mechanisms of resilience;10.1007/s10708-020-10236-x;no-cc;7/6/2020;Brunn, Stanley D.- Dronova, Olena- Kononenko, Olena;GeoJournal;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7276113/
4l0g7shk;PMC;Letter to the Editor;10.1016/j.cardfail.2020.06.002;no-cc;7/6/2020;Roy, Justin;J Card Fail;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7276136/
rcapn1gs;PMC;Wound Healing;10.1016/j.suc.2020.05.012;no-cc;7/6/2020;Martin, Ronald F.;Surg Clin North Am;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7276230/
p8bqqp4y;PMC;Case report of a patient with suspected COVID-19 with depression and fever in an epidemic stress environment;10.1136/gpsych-2020-100218;cc-by-nc;31/5/2020;Fu, Rui- Zhang, Yueqin;Gen Psychiatr;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7276235/
rqlrt3ke;PMC;The COVID-19 pandemic: resilient organisational response to a low-chance, high-impact event;10.1136/leader-2020-000245;no-cc;18/5/2020;Lloyd-Smith, McKenzie;;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7276242/
ieb6p8tg;PMC;Microneedle Array: Applications, Recent Advances, and Clinical Pertinence in Transdermal Drug Delivery;10.1007/s12247-020-09460-2;no-cc;8/6/2020;Halder, Jitu- Gupta, Sudhanshu- Kumari, Rakhi- Gupta, Ghanshyam Das- Rai, Vineet Kumar;J Pharm Innov;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7276250/
w086mze0;PMC;Towards Hypervisor Support for Enhancing the Performance of Virtual Machine Introspection;10.1007/978-3-030-50323-9_3;no-cc;15/5/2020;Taubmann, Benjamin- Reiser, Hans P.;Distributed Applications and Interoperable Systems;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7276251/
elo5lr4z;PMC;Building a Polyglot Data Access Layer for a Low-Code Application Development Platform: (Experience Report);10.1007/978-3-030-50323-9_6;no-cc;15/5/2020;Nunes Alonso, Ana- Abreu, João- Nunes, David- Vieira, André- Santos, Luiz- Soares, Tércio- Pereira, José;Distributed Applications and Interoperable Systems;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7276252/
budhtlxv;PMC;Self-tunable DBMS Replication with Reinforcement Learning;10.1007/978-3-030-50323-9_9;no-cc;15/5/2020;Ferreira, Luís- Coelho, Fábio- Pereira, José;Distributed Applications and Interoperable Systems;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7276253/
lqvradqi;PMC;A Comparison of Message Exchange Patterns in BFT Protocols: (Experience Report);10.1007/978-3-030-50323-9_7;no-cc;15/5/2020;Silva, Fábio- Alonso, Ana- Pereira, José- Oliveira, Rui;Distributed Applications and Interoperable Systems;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7276254/
aijan261;PMC;A Resource Usage Efficient Distributed Allocation Algorithm for 5G Service Function Chains;10.1007/978-3-030-50323-9_11;no-cc;15/5/2020;Fraysse, Guillaume- Lejeune, Jonathan- Sopena, Julien- Sens, Pierre;Distributed Applications and Interoperable Systems;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7276255/
j7pyf6e1;PMC;Capturing Privacy-Preserving User Contexts with IndoorHash;10.1007/978-3-030-50323-9_2;no-cc;15/5/2020;Meftah, Lakhdar- Rouvoy, Romain- Chrisment, Isabelle;Distributed Applications and Interoperable Systems;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7276256/
qa615cmm;PMC;On the Trade-Offs of Combining Multiple Secure Processing Primitives for Data Analytics;10.1007/978-3-030-50323-9_1;no-cc;15/5/2020;Carvalho, Hugo- Cruz, Daniel- Pontes, Rogério- Paulo, João- Oliveira, Rui;Distributed Applications and Interoperable Systems;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7276258/
my88thxx;PMC;TailX: Scheduling Heterogeneous Multiget Queries to Improve Tail Latencies in Key-Value Stores;10.1007/978-3-030-50323-9_5;no-cc;15/5/2020;Jaiman, Vikas- Ben Mokhtar, Sonia- Rivière, Etienne;Distributed Applications and Interoperable Systems;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7276259/
zm84yipu;PMC;Fed-DIC: Diagonally Interleaved Coding in a Federated Cloud Environment;10.1007/978-3-030-50323-9_4;no-cc;15/5/2020;Tzouros, Giannis- Kalogeraki, Vana;Distributed Applications and Interoperable Systems;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7276260/
ps3ih6g2;PMC;Kollaps/Thunderstorm: Reproducible Evaluation of Distributed Systems: Tutorial Paper;10.1007/978-3-030-50323-9_8;no-cc;15/5/2020;Matos, Miguel;Distributed Applications and Interoperable Systems;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7276261/
sh7md8dl;Medline;Kimchi intake and atopic dermatitis in Korean aged 19-49 years: The Korea National Health and Nutrition Examination Survey 2010-2012.;10.6133/apjcn.022017.16;unk;2017;Kim, Hye Jung- Ju, Se-Young- Park, Yoo Kyoung;Asia Pacific journal of clinical nutrition;"https://doi.org/10.6133/apjcn.022017.16; https://www.ncbi.nlm.nih.gov/pubmed/28802302/"
4022pdpi;Medline;Aspiration Thrombectomy After Intravenous Alteplase Versus Intravenous Alteplase Alone.;10.1161/strokeaha.116.013372;unk;2016;Mocco, J- Zaidat, Osama O- von Kummer, Rüdiger- Yoo, Albert J- Gupta, Rishi- Lopes, Demetrius- Frei, Don- Shownkeen, Harish- Budzik, Ron- Ajani, Zahra A- Grossman, Aaron- Altschul, Dorethea- McDougall, Cameron- Blake, Lindsey- Fitzsimmons, Brian-Fred- Yavagal, Dileep- Terry, John- Farkas, Jeffrey- Lee, Seon Kyu- Baxter, Blaise- Wiesmann, Martin- Knauth, Michael- Heck, Donald- Hussain, Syed- Chiu, David- Alexander, Michael J- Malisch, Timothy- Kirmani, Jawad- Miskolczi, Laszlo- Khatri, Pooja;Stroke;"https://doi.org/10.1161/strokeaha.116.013372; https://www.ncbi.nlm.nih.gov/pubmed/27486173/"
vfe3wmk9;Medline;Thymosin alpha 1 (T?1) reduces the mortality of severe COVID-19 by restoration of lymphocytopenia and reversion of exhausted T cells.;10.1093/cid/ciaa630;unk;22/5/2020;Liu, Yueping- Pang, Yue- Hu, Zhenhong- Wu, Ming- Wang, Chenhui- Feng, Zeqing- Mao, Congzheng- Tan, Yingjun- Liu, Ying- Chen, Li- Li, Min- Wang, Gang- Yuan, Zilin- Diao, Bo- Wu, Yuzhang- Chen, Yongwen;Clinical infectious diseases : an official publication of the Infectious Diseases Society of America;"https://doi.org/10.1093/cid/ciaa630; https://www.ncbi.nlm.nih.gov/pubmed/32442287/"
rqpuqlh1;Medline;[Current state of single-port transumbilical surgery in urology: challenges and applications].;10.1016/j.acuro.2012.07.001;unk;2013;García-Mediero, J M- Cabrera, P M- Cáceres, F- Mateo, E- García-Tello, A- Angulo, J C;Actas urologicas espanolas;"https://doi.org/10.1016/j.acuro.2012.07.001; https://www.ncbi.nlm.nih.gov/pubmed/22999345/"
77fx5tty;Medline;Shifting from survival to supporting resilience in children and families in the COVID-19 pandemic: Lessons for informing U.S. mental health priorities.;10.1037/tra0000781;unk;11/6/2020;Stark, Abigail M- White, Allison E- Rotter, Nancy S- Basu, Archana;Psychological trauma : theory, research, practice and policy;"https://doi.org/10.1037/tra0000781; https://www.ncbi.nlm.nih.gov/pubmed/32525375/"
cndf9yov;Medline;Coiled coils: attractive protein folding motifs for the fabrication of self-assembled, responsive and bioactive materials.;10.1039/b914339b;unk;2010;Apostolovic, Bojana- Danial, Maarten- Klok, Harm-Anton;Chemical Society reviews;"https://doi.org/10.1039/b914339b; https://www.ncbi.nlm.nih.gov/pubmed/20676430/"
l2t4hhd2;Medline;Genomic footprints of an old affair: SNP data reveal historical hybridization and the subsequent evolution of reproductive barriers in two recently diverged grasshoppers with partly overlapping distributions.;10.1111/mec.15475;unk;16/5/2020;Tonzo, Vanina- Papadopoulou, Anna- Ortego, Joaquín;Molecular ecology;"https://doi.org/10.1111/mec.15475; https://www.ncbi.nlm.nih.gov/pubmed/32418257/"
w6wer9cz;Medline;Efficacy of artificial pneumothorax under two-lung ventilation in video-assisted thoracoscopic surgery for esophageal cancer.;10.1007/s00464-019-07347-z;unk;13/1/2020;Nomura, Shinsuke- Tsujimoto, Hironori- Ishibashi, Yusuke- Fujishima, Seiichiro- Kouzu, Keita- Harada, Manabu- Ito, Nozomi- Yaguchi, Yoshihisa- Saitoh, Daizoh- Ikeda, Takehiko- Hase, Kazuo- Kishi, Yoji- Ueno, Hideki;Surgical endoscopy;"https://doi.org/10.1007/s00464-019-07347-z; https://www.ncbi.nlm.nih.gov/pubmed/31932926/"
rwt3lzak;Medline;Community-acquired pneumonia.;10.1097/mcp.0b013e32835f1d12;unk;2013;Irfan, Muhammad- Farooqi, Joveria- Hasan, Rumina;Current opinion in pulmonary medicine;"https://doi.org/10.1097/mcp.0b013e32835f1d12; https://www.ncbi.nlm.nih.gov/pubmed/23422417/"
aqh1l5fq;Medline;Heparin-bonded stent-graft for the treatment of TASC II C and D femoropopliteal lesions: the Viabahn-25 cm trial.;10.1583/14-4790r.1;unk;2014;Zeller, Thomas- Peeters, Patrick- Bosiers, Marc- Lammer, Johannes- Brechtel, Klaus- Scheinert, Dierk- Rastan, Aljoscha- Noory, Elias- Beschorner, Ulrich;Journal of endovascular therapy : an official journal of the International Society of Endovascular Specialists;"https://doi.org/10.1583/14-4790r.1; https://www.ncbi.nlm.nih.gov/pubmed/25453876/"
pvg3lez5;Medline;Trocar site hernia development in patients undergoing robotically assisted or standard laparoscopic staging surgery for endometrial cancer.;10.1016/j.ygyno.2017.09.005;unk;2017;Cybulska, Paulina- Schiavone, Maria B- Sawyer, Brandon- Gardner, Ginger J- Zivanovic, Oliver- Brown, Carol L- Jewell, Elizabeth L- Sonoda, Yukio- Barakat, Richard R- Abu-Rustum, Nadeem R- Leitao, Mario M;Gynecologic oncology;"https://doi.org/10.1016/j.ygyno.2017.09.005; https://www.ncbi.nlm.nih.gov/pubmed/28947174/"
